,Height,Weight,Medal_Counts
0,,,8451
1,175.0,70.0,147
2,170.0,65.0,138
3,180.0,75.0,132
4,178.0,70.0,129
5,178.0,75.0,111
6,185.0,80.0,105
7,170.0,,100
8,180.0,73.0,98
9,170.0,60.0,95
10,183.0,73.0,95
11,180.0,70.0,91
12,183.0,75.0,91
13,180.0,77.0,90
14,180.0,78.0,89
15,180.0,72.0,89
16,168.0,60.0,88
17,178.0,73.0,88
18,185.0,75.0,87
19,175.0,68.0,85
20,170.0,64.0,84
21,175.0,72.0,84
22,176.0,70.0,83
23,188.0,84.0,83
24,180.0,74.0,82
25,180.0,80.0,82
26,183.0,80.0,82
27,175.0,65.0,81
28,172.0,68.0,80
29,178.0,72.0,80
30,178.0,74.0,80
31,180.0,,80
32,165.0,57.0,78
33,172.0,65.0,78
34,173.0,70.0,78
35,175.0,75.0,78
36,178.0,68.0,78
37,183.0,70.0,78
38,173.0,66.0,77
39,174.0,70.0,77
40,170.0,70.0,76
41,176.0,75.0,76
42,168.0,58.0,75
43,170.0,68.0,75
44,182.0,75.0,75
45,183.0,77.0,74
46,170.0,62.0,73
47,165.0,58.0,72
48,170.0,59.0,72
49,180.0,79.0,72
50,167.0,60.0,71
51,170.0,66.0,71
52,173.0,68.0,71
53,173.0,63.0,70
54,180.0,76.0,70
55,170.0,63.0,69
56,173.0,61.0,69
57,178.0,78.0,69
58,183.0,78.0,69
59,167.0,,68
60,168.0,63.0,68
61,175.0,73.0,68
62,178.0,77.0,68
63,173.0,60.0,67
64,165.0,60.0,66
65,172.0,64.0,66
66,172.0,70.0,65
67,174.0,65.0,65
68,175.0,67.0,65
69,183.0,74.0,65
70,168.0,62.0,64
71,173.0,64.0,64
72,173.0,,64
73,177.0,70.0,64
74,182.0,78.0,64
75,183.0,79.0,64
76,185.0,79.0,64
77,170.0,57.0,63
78,176.0,72.0,62
79,183.0,83.0,62
80,163.0,59.0,61
81,175.0,71.0,61
82,178.0,65.0,61
83,186.0,80.0,61
84,190.0,90.0,61
85,167.0,58.0,60
86,170.0,61.0,60
87,175.0,64.0,59
88,180.0,68.0,59
89,172.0,66.0,58
90,175.0,66.0,58
91,180.0,71.0,58
92,165.0,62.0,57
93,178.0,,57
94,178.0,71.0,57
95,174.0,68.0,56
