,Height,Weight,Medal_Counts,Percentage_Win_H,Percentage_Win_W
1,175,70,147,3.9338572481881777,3.513738718388901
2,170,65,138,3.821461326811373,3.262757381361122
3,180,75,132,4.046253169564983,3.7647200554166793
4,178,70,129,4.001294801014261,3.513738718388901
5,178,75,111,4.001294801014261,3.7647200554166793
6,185,80,105,4.158649090941788,4.015701392444458
8,180,73,98,4.046253169564983,3.6643275206055677
9,170,60,95,3.821461326811373,3.0117760443333434
10,183,73,95,4.113690722391066,3.6643275206055677
11,180,70,91,4.046253169564983,3.513738718388901
12,183,75,91,4.113690722391066,3.7647200554166793
13,180,77,90,4.046253169564983,3.8651125902277905
14,180,78,89,4.046253169564983,3.9153088576333466
15,180,72,89,4.046253169564983,3.614131253200012
16,168,60,88,3.7765029582606506,3.0117760443333434
17,178,73,88,4.001294801014261,3.6643275206055677
18,185,75,87,4.158649090941788,3.7647200554166793
19,175,68,85,3.9338572481881777,3.413346183577789
20,170,64,84,3.821461326811373,3.2125611139555663
21,175,72,84,3.9338572481881777,3.614131253200012
22,176,70,83,3.9563364324635386,3.513738718388901
23,188,84,83,4.226086643767871,4.216486462066681
24,180,74,82,4.046253169564983,3.7145237880111237
25,180,80,82,4.046253169564983,4.015701392444458
26,183,80,82,4.113690722391066,4.015701392444458
27,175,65,81,3.9338572481881777,3.262757381361122
28,172,68,80,3.8664196953620946,3.413346183577789
29,178,72,80,4.001294801014261,3.614131253200012
30,178,74,80,4.001294801014261,3.7145237880111237
32,165,57,78,3.709065405434568,2.861187242116676
33,172,65,78,3.8664196953620946,3.262757381361122
34,173,70,78,3.8888988796374555,3.513738718388901
35,175,75,78,3.9338572481881777,3.7647200554166793
36,178,68,78,4.001294801014261,3.413346183577789
37,183,70,78,4.113690722391066,3.513738718388901
38,173,66,77,3.8888988796374555,3.312953648766678
39,174,70,77,3.911378063912817,3.513738718388901
40,170,70,76,3.821461326811373,3.513738718388901
41,176,75,76,3.9563364324635386,3.7647200554166793
42,168,58,75,3.7765029582606506,2.9113835095222322
43,170,68,75,3.821461326811373,3.413346183577789
44,182,75,75,4.091211538115705,3.7647200554166793
45,183,77,74,4.113690722391066,3.8651125902277905
46,170,62,73,3.821461326811373,3.112168579144455
47,165,58,72,3.709065405434568,2.9113835095222322
48,170,59,72,3.821461326811373,2.9615797769277874
49,180,79,72,4.046253169564983,3.965505125038902
50,167,60,71,3.7540237739852897,3.0117760443333434
51,170,66,71,3.821461326811373,3.312953648766678
52,173,68,71,3.8888988796374555,3.413346183577789
53,173,63,70,3.8888988796374555,3.1623648465500103
54,180,76,70,4.046253169564983,3.814916322822235
55,170,63,69,3.821461326811373,3.1623648465500103
56,173,61,69,3.8888988796374555,3.061972311738899
57,178,78,69,4.001294801014261,3.9153088576333466
58,183,78,69,4.113690722391066,3.9153088576333466
60,168,63,68,3.7765029582606506,3.1623648465500103
61,175,73,68,3.9338572481881777,3.6643275206055677
62,178,77,68,4.001294801014261,3.8651125902277905
63,173,60,67,3.8888988796374555,3.0117760443333434
64,165,60,66,3.709065405434568,3.0117760443333434
65,172,64,66,3.8664196953620946,3.2125611139555663
66,172,70,65,3.8664196953620946,3.513738718388901
67,174,65,65,3.911378063912817,3.262757381361122
68,175,67,65,3.9338572481881777,3.363149916172233
69,183,74,65,4.113690722391066,3.7145237880111237
70,168,62,64,3.7765029582606506,3.112168579144455
71,173,64,64,3.8888988796374555,3.2125611139555663
73,177,70,64,3.9788156167388995,3.513738718388901
74,182,78,64,4.091211538115705,3.9153088576333466
75,183,79,64,4.113690722391066,3.965505125038902
76,185,79,64,4.158649090941788,3.965505125038902
77,170,57,63,3.821461326811373,2.861187242116676
78,176,72,62,3.9563364324635386,3.614131253200012
79,183,83,62,4.113690722391066,4.166290194661125
80,163,59,61,3.6641070368838453,2.9615797769277874
81,175,71,61,3.9338572481881777,3.563934985794456
82,178,65,61,4.001294801014261,3.262757381361122
83,186,80,61,4.181128275217149,4.015701392444458
84,190,90,61,4.271045012318592,4.517664066500015
85,167,58,60,3.7540237739852897,2.9113835095222322
86,170,61,60,3.821461326811373,3.061972311738899
87,175,64,59,3.9338572481881777,3.2125611139555663
88,180,68,59,4.046253169564983,3.413346183577789
89,172,66,58,3.8664196953620946,3.312953648766678
90,175,66,58,3.9338572481881777,3.312953648766678
91,180,71,58,4.046253169564983,3.563934985794456
92,165,62,57,3.709065405434568,3.112168579144455
94,178,71,57,4.001294801014261,3.563934985794456
95,174,68,56,3.911378063912817,3.413346183577789
96,177,75,56,3.9788156167388995,3.7647200554166793
97,182,70,56,4.091211538115705,3.513738718388901
98,190,88,56,4.271045012318592,4.417271531688904
99,165,55,55,3.709065405434568,2.7607947073055645
100,180,82,55,4.046253169564983,4.116093927255569
102,183,86,55,4.113690722391066,4.316878996877793
103,185,77,55,4.158649090941788,3.8651125902277905
104,185,85,55,4.158649090941788,4.266682729472237
105,160,58,54,3.5966694840577627,2.9113835095222322
106,167,57,54,3.7540237739852897,2.861187242116676
107,170,67,54,3.821461326811373,3.363149916172233
108,184,78,54,4.136169906666427,3.9153088576333466
109,165,59,53,3.709065405434568,2.9615797769277874
110,168,64,53,3.7765029582606506,3.2125611139555663
111,172,67,53,3.8664196953620946,3.363149916172233
112,182,76,53,4.091211538115705,3.814916322822235
113,184,80,53,4.136169906666427,4.015701392444458
114,186,82,53,4.181128275217149,4.116093927255569
115,172,60,52,3.8664196953620946,3.0117760443333434
116,173,73,52,3.8888988796374555,3.6643275206055677
117,176,68,52,3.9563364324635386,3.413346183577789
118,178,76,52,4.001294801014261,3.814916322822235
119,188,80,52,4.226086643767871,4.015701392444458
120,172,63,51,3.8664196953620946,3.1623648465500103
121,173,59,51,3.8888988796374555,2.9615797769277874
122,175,78,51,3.9338572481881777,3.9153088576333466
123,183,85,51,4.113690722391066,4.266682729472237
124,185,82,51,4.158649090941788,4.116093927255569
125,188,81,51,4.226086643767871,4.065897659850013
126,168,56,50,3.7765029582606506,2.8109909747111206
127,178,66,50,4.001294801014261,3.312953648766678
128,190,86,50,4.271045012318592,4.316878996877793
129,168,65,49,3.7765029582606506,3.262757381361122
130,170,58,49,3.821461326811373,2.9113835095222322
131,173,65,49,3.8888988796374555,3.262757381361122
132,183,82,49,4.113690722391066,4.116093927255569
133,185,78,49,4.158649090941788,3.9153088576333466
134,190,82,49,4.271045012318592,4.116093927255569
135,193,91,49,4.338482565144676,4.56786033390557
136,160,55,48,3.5966694840577627,2.7607947073055645
137,162,58,48,3.6416278526084844,2.9113835095222322
138,165,54,48,3.709065405434568,2.7105984399000094
139,172,62,48,3.8664196953620946,3.112168579144455
140,174,64,48,3.911378063912817,3.2125611139555663
141,174,72,48,3.911378063912817,3.614131253200012
142,175,63,48,3.9338572481881777,3.1623648465500103
143,178,82,48,4.001294801014261,4.116093927255569
144,182,72,48,4.091211538115705,3.614131253200012
145,182,73,48,4.091211538115705,3.6643275206055677
146,163,57,47,3.6641070368838453,2.861187242116676
147,168,57,47,3.7765029582606506,2.861187242116676
148,174,69,47,3.911378063912817,3.463542450983345
149,179,75,47,4.023773985289622,3.7647200554166793
150,182,82,47,4.091211538115705,4.116093927255569
151,188,82,47,4.226086643767871,4.116093927255569
152,190,85,47,4.271045012318592,4.266682729472237
153,166,60,46,3.731544589709929,3.0117760443333434
155,178,80,46,4.001294801014261,4.015701392444458
156,180,81,46,4.046253169564983,4.065897659850013
157,181,75,46,4.068732353840344,3.7647200554166793
158,182,80,46,4.091211538115705,4.015701392444458
159,183,68,46,4.113690722391066,3.413346183577789
160,183,76,46,4.113690722391066,3.814916322822235
161,185,83,46,4.158649090941788,4.166290194661125
162,186,77,46,4.181128275217149,3.8651125902277905
163,172,74,45,3.8664196953620946,3.7145237880111237
164,177,68,45,3.9788156167388995,3.413346183577789
165,178,64,45,4.001294801014261,3.2125611139555663
166,178,69,45,4.001294801014261,3.463542450983345
167,182,77,45,4.091211538115705,3.8651125902277905
168,187,80,45,4.20360745949251,4.015701392444458
169,188,86,45,4.226086643767871,4.316878996877793
170,170,73,44,3.821461326811373,3.6643275206055677
171,171,64,44,3.8439405110867337,3.2125611139555663
172,175,62,44,3.9338572481881777,3.112168579144455
173,181,72,44,4.068732353840344,3.614131253200012
174,162,56,43,3.6416278526084844,2.8109909747111206
175,173,67,43,3.8888988796374555,3.363149916172233
176,174,75,43,3.911378063912817,3.7647200554166793
177,176,74,43,3.9563364324635386,3.7145237880111237
178,180,66,43,4.046253169564983,3.312953648766678
179,181,73,43,4.068732353840344,3.6643275206055677
180,160,52,42,3.5966694840577627,2.6102059050888977
181,168,59,42,3.7765029582606506,2.9615797769277874
182,170,55,42,3.821461326811373,2.7607947073055645
183,183,84,42,4.113690722391066,4.216486462066681
184,184,75,42,4.136169906666427,3.7647200554166793
185,188,88,42,4.226086643767871,4.417271531688904
186,177,72,41,3.9788156167388995,3.614131253200012
187,178,67,41,4.001294801014261,3.363149916172233
188,185,86,41,4.158649090941788,4.316878996877793
189,185,81,41,4.158649090941788,4.065897659850013
190,186,75,41,4.181128275217149,3.7647200554166793
191,188,77,41,4.226086643767871,3.8651125902277905
192,160,57,40,3.5966694840577627,2.861187242116676
193,164,54,40,3.686586221159206,2.7105984399000094
194,165,56,40,3.709065405434568,2.8109909747111206
195,168,55,40,3.7765029582606506,2.7607947073055645
196,169,68,40,3.798982142536012,3.413346183577789
197,170,56,40,3.821461326811373,2.8109909747111206
198,170,72,40,3.821461326811373,3.614131253200012
199,176,73,40,3.9563364324635386,3.6643275206055677
200,180,69,40,4.046253169564983,3.463542450983345
201,183,81,40,4.113690722391066,4.065897659850013
202,164,55,39,3.686586221159206,2.7607947073055645
203,166,58,39,3.731544589709929,2.9113835095222322
204,170,69,39,3.821461326811373,3.463542450983345
205,172,69,39,3.8664196953620946,3.463542450983345
206,176,69,39,3.9563364324635386,3.463542450983345
207,176,65,39,3.9563364324635386,3.262757381361122
208,179,73,39,4.023773985289622,3.6643275206055677
209,180,85,39,4.046253169564983,4.266682729472237
210,181,78,39,4.068732353840344,3.9153088576333466
211,183,72,39,4.113690722391066,3.614131253200012
212,185,73,39,4.158649090941788,3.6643275206055677
214,187,83,39,4.20360745949251,4.166290194661125
215,160,54,38,3.5966694840577627,2.7105984399000094
216,164,56,38,3.686586221159206,2.8109909747111206
217,167,63,38,3.7540237739852897,3.1623648465500103
218,168,70,38,3.7765029582606506,3.513738718388901
219,171,63,38,3.8439405110867337,3.1623648465500103
220,172,72,38,3.8664196953620946,3.614131253200012
221,174,62,38,3.911378063912817,3.112168579144455
222,177,74,38,3.9788156167388995,3.7145237880111237
223,179,72,38,4.023773985289622,3.614131253200012
224,180,86,38,4.046253169564983,4.316878996877793
225,180,67,38,4.046253169564983,3.363149916172233
226,182,79,38,4.091211538115705,3.965505125038902
227,184,72,38,4.136169906666427,3.614131253200012
228,185,84,38,4.158649090941788,4.216486462066681
229,187,84,38,4.20360745949251,4.216486462066681
230,193,93,38,4.338482565144676,4.668252868716682
231,168,61,37,3.7765029582606506,3.061972311738899
232,169,63,37,3.798982142536012,3.1623648465500103
233,171,60,37,3.8439405110867337,3.0117760443333434
234,174,73,37,3.911378063912817,3.6643275206055677
