Year,Bronze,Gold,Silver
1900,5,4,4
1904,2,6,2
1906,2,2,2
1908,5,6,5
1912,10,10,10
1920,14,15,15
1924,17,17,18
1928,35,34,34
1932,22,22,24
1936,33,32,32
1948,40,38,38
1952,52,53,53
1956,58,54,59
1960,60,69,66
1964,73,86,87
1968,84,90,87
1972,94,102,99
1976,145,148,147
1980,161,162,162
1984,182,188,178
1988,212,199,206
1992,237,230,224
1994,36,36,36
1996,256,255,253
1998,63,63,63
2000,299,288,293
2002,70,70,68
2004,301,298,299
2006,77,77,77
2008,319,306,307
2010,75,77,77
2012,314,301,303
2014,87,91,87
2016,331,318,320
