Year,Bronze,Gold,Silver
1896,38,62,43
1900,170,197,224
1904,148,167,161
1906,143,155,154
1908,251,288,276
1912,290,316,305
1920,353,478,433
1924,294,315,301
1928,246,241,233
1932,210,239,222
1936,297,316,315
1948,285,292,294
1952,295,298,282
1956,290,299,283
1960,297,290,276
1964,328,322,319
1968,337,335,323
1972,391,372,356
1976,373,360,358
1980,381,367,369
1984,394,383,373
1988,425,408,395
1992,473,433,433
1994,76,74,73
1996,373,353,352
1998,87,82,82
2000,381,375,368
2002,89,92,89
2004,376,366,361
2006,98,99,98
2008,391,365,360
2010,96,97,98
2012,365,331,327
2014,111,111,110
2016,372,347,335
